               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,           0.0093527,           0.0044632,            0.013012,             0.98831,             0.97893,             0.99307,             0.98875,            0.003929,           0.0019489,           0.0032073,            0.002971,            0.002971,            0.002971
                  73,           0.0091905,           0.0043985,            0.012965,             0.98887,             0.97984,             0.99292,             0.98827,           0.0038796,            0.001925,           0.0029937,            0.002872,            0.002872,            0.002872
                  74,           0.0090854,           0.0044191,            0.012783,             0.98945,             0.97999,              0.9931,             0.98852,           0.0038446,           0.0019218,           0.0029227,            0.002773,            0.002773,            0.002773
                  75,           0.0090728,           0.0043807,              0.0131,             0.98881,             0.98129,              0.9931,             0.98926,           0.0038125,           0.0019087,           0.0028494,            0.002674,            0.002674,            0.002674
                  76,           0.0089597,            0.004329,            0.012441,             0.98877,             0.98441,             0.99303,              0.9897,            0.003785,           0.0019079,           0.0026984,            0.002575,            0.002575,            0.002575
                  77,           0.0089251,           0.0044077,            0.012479,             0.99146,             0.98281,             0.99358,             0.99037,           0.0037672,           0.0019017,           0.0026192,            0.002476,            0.002476,            0.002476
                  78,           0.0087624,           0.0041829,            0.012473,             0.98829,             0.98487,             0.99349,              0.9897,           0.0037577,           0.0018851,           0.0026443,            0.002377,            0.002377,            0.002377
                  79,           0.0085861,           0.0041982,             0.01205,              0.9902,             0.98483,             0.99354,             0.98994,           0.0037323,           0.0018698,           0.0026184,            0.002278,            0.002278,            0.002278
                  80,           0.0084649,           0.0041666,            0.011936,             0.98887,              0.9861,             0.99333,             0.99026,           0.0036893,           0.0018544,           0.0026037,            0.002179,            0.002179,            0.002179
                  81,           0.0083417,           0.0042243,            0.011671,             0.98929,             0.98572,             0.99333,             0.98966,           0.0036795,           0.0018488,           0.0026036,             0.00208,             0.00208,             0.00208
                  82,           0.0082166,            0.004162,            0.011961,             0.98556,             0.98685,             0.99335,             0.98999,           0.0036645,           0.0018328,           0.0025304,            0.001981,            0.001981,            0.001981
